total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
64,1024,72,3600000000000.00,model defined,500513,16,528,59.3876,50466709,0,49707290,0,-6445.44,0,0.00,416940,54.90,3049658,1392537,1657121,3203200,50050,759419,12787.50,0,500529,870779,627,57104022,57104022,3888,960,960,1072,80,2112,976,1744,0.0372,0.0172,0.0458,0.0000,0.0000,0.1974,0.1080,0.0000,1.4833,0.0018,0.2795,0.1570,0.4351,0.0000,0.0000,1.4847
64,1024,256,3600000000000.00,model defined,501025,16,1040,31.5076,55797516,0,54914719,0,-6120.54,0,0.00,405894,45.98,6176163,2644369,3531794,2921408,45647,882797,28018.53,0,501041,871653,625,45876988,45876988,3888,960,960,96,80,1136,976,1744,0.0365,0.0100,0.0108,0.0000,0.0000,0.0765,0.0552,0.0000,0.7864,0.0011,0.0876,0.0464,0.1568,0.0000,0.0000,0.7877
64,1024,72,3600000000000.00,model defined,500513,16,528,57.4990,50285525,0,49526106,0,-6421.58,0,0.00,416940,54.90,3042068,1387119,1654949,3211264,50176,759419,13207.52,0,500529,870779,627,56780224,56780224,3888,960,960,1072,80,2112,976,1744,0.0365,0.0166,0.0451,0.0000,0.0000,0.1859,0.1083,0.0000,1.4361,0.0016,0.2702,0.1480,0.4218,0.0000,0.0000,1.4375
64,1024,5610,3600000000000.00,model defined,522529,16,22544,1.0477,749009,0,0,0,100.00,0,0.00,0,0.00,0,0,0,187264,2926,749009,714909.94,0,522545,908441,462,0,0,3888,960,960,96,80,1136,976,1744,0.0393,0.0024,0.0000,0.0000,0.0000,0.0213,0.0000,0.0000,0.0261,0.0010,0.0000,0.0012,0.0000,0.0000,0.0000,0.0262
64,1024,5610,3600000000000.00,model defined,522529,16,22544,1.0416,749009,0,0,0,100.00,0,0.00,0,0.00,0,0,0,187264,2926,749009,719109.16,0,522545,908441,462,0,0,3888,960,960,96,80,1136,976,1744,0.0393,0.0024,0.0000,0.0000,0.0000,0.0214,0.0000,0.0000,0.0260,0.0010,0.0000,0.0012,0.0000,0.0000,0.0000,0.0260
64,1024,5610,3600000000000.00,model defined,522529,16,22544,1.0603,749009,0,0,0,100.00,0,0.00,0,0.00,0,0,0,187264,2926,749009,706433.66,0,522545,908441,462,0,0,3888,960,960,96,80,1136,976,1744,0.0396,0.0024,0.0000,0.0000,0.0000,0.0218,0.0000,0.0000,0.0264,0.0011,0.0000,0.0012,0.0000,0.0000,0.0000,0.0265
64,1024,5610,3600000000000.00,model defined,522529,16,22544,1.0547,749009,0,0,0,100.00,0,0.00,0,0.00,0,0,0,187264,2926,749009,710185.97,0,522545,908441,462,0,0,3888,960,960,96,80,1136,976,1744,0.0396,0.0024,0.0000,0.0000,0.0000,0.0214,0.0000,0.0000,0.0263,0.0010,0.0000,0.0012,0.0000,0.0000,0.0000,0.0264
64,1024,5610,3600000000000.00,model defined,522529,16,22544,1.0602,749009,0,0,0,100.00,0,0.00,0,0.00,0,0,0,187264,2926,749009,706480.97,0,522545,908441,462,0,0,3888,960,960,96,80,1136,976,1744,0.0395,0.0023,0.0000,0.0000,0.0000,0.0215,0.0000,0.0000,0.0264,0.0010,0.0000,0.0012,0.0000,0.0000,0.0000,0.0265
64,1024,5610,3600000000000.00,model defined,522529,16,22544,53.0004,82636897,0,71670304,0,-553.53,0,0.00,1476702,13.47,11042959,2893452,8149507,3442496,53789,10966593,206915.29,0,522545,908441,462,18469654,18469654,3888,960,960,96,80,1136,976,1744,0.0422,0.0743,0.0235,0.0000,0.0000,0.5019,0.2330,0.0000,1.3201,0.0210,0.1661,0.1459,0.3063,0.0000,0.0000,1.3250
64,1024,5610,3600000000000.00,model defined,522529,16,22544,377.4067,2558898460,0,2449004148,0,-2128.51,0,0.00,18633064,16.96,383945465,92145784,291799681,18040640,281885,109894312,291182.69,0,522545,908441,462,622282604,622282604,3888,960,960,96,80,1136,976,1744,0.4354,0.3804,0.0904,0.0000,0.0000,2.7653,1.4089,0.0000,9.2597,0.0797,0.8039,0.6856,1.6894,0.0000,0.0000,9.4351
